id.practice,year,Y,Z,post,n.patients,V1_avg,V2_avg,V3_avg,V4_avg,V5_A_avg,V5_B_avg,V5_C_avg
1,1,886.210057692116,0,0,819,11.319504853377424,2.971916971916972,0.5702075702075702,0.14753562849766524,0.5128205128205128,0.16605616605616605,0.32112332112332115
1,2,1131.9765763929868,0,0,797,11.22360881100234,2.987452948557089,0.5746549560853199,0.16974112219099666,0.5031367628607277,0.17189460476787954,0.32496863237139273
1,3,1220.1203725661935,0,1,787,11.281506980385762,3.0292249047013975,0.5705209656925032,0.17843166785122971,0.5133418043202033,0.16264294790343076,0.3240152477763659
1,4,1400.873706505001,0,1,757,11.34470144857928,3.0462351387054163,0.5680317040951123,0.19367609094877186,0.5217965653896962,0.16512549537648613,0.3130779392338177
2,1,708.0950227857571,0,0,361,10.952052386175934,2.9861495844875345,0.5789473684210527,0.13655264510531953,0.5872576177285319,0.26869806094182824,0.1440443213296399
2,2,1087.6072065048,0,0,357,10.96669937488225,2.991596638655462,0.5714285714285714,0.1192206054557624,0.5770308123249299,0.27170868347338933,0.15126050420168066
2,3,1382.611677524224,0,1,345,11.097631513435497,2.96231884057971,0.5681159420289855,0.08379300324701978,0.5623188405797102,0.2753623188405797,0.16231884057971013
2,4,1203.0977779678697,0,1,363,11.490139277377805,2.994490358126722,0.559228650137741,0.03560722813103173,0.5619834710743802,0.26721763085399447,0.17079889807162535
3,1,919.7331072979321,1,0,494,11.780152786908928,3.0364372469635628,0.4777327935222672,-0.2309426938668563,0.8097165991902834,0.1396761133603239,0.05060728744939271
3,2,968.1410157352044,1,0,489,11.71361123000007,3.0122699386503067,0.4887525562372188,-0.2383187083636355,0.8179959100204499,0.13496932515337423,0.04703476482617587
3,3,1103.748959691312,1,1,456,11.749517634079197,3.0021929824561404,0.4868421052631579,-0.22346772106040177,0.8223684210526315,0.12719298245614036,0.05043859649122807
3,4,1129.9989367119279,1,1,436,11.743154448551124,3.0481651376146788,0.4724770642201835,-0.2506605965426947,0.8096330275229358,0.12844036697247707,0.06192660550458716
4,1,753.1399317911558,0,0,188,12.346767352313703,3.202127659574468,0.4787234042553192,-0.4073286143345052,0.7819148936170213,0.15425531914893617,0.06382978723404255
4,2,681.8707697874696,0,0,177,12.251162053593545,3.1638418079096047,0.4858757062146893,-0.3966323676356189,0.7796610169491526,0.15819209039548024,0.062146892655367235
4,3,809.6978136153895,0,1,226,12.122729767859225,3.0973451327433628,0.4690265486725664,-0.27328578621529614,0.7831858407079646,0.13716814159292035,0.07964601769911504
4,4,882.7842360548981,0,1,225,12.226275579567375,3.062222222222222,0.49777777777777776,-0.2187938959582607,0.7911111111111111,0.13333333333333333,0.07555555555555556
5,1,878.0309921104117,0,0,920,11.783217190397059,2.997826086956522,0.4706521739130435,-0.16515609108968418,0.7336956521739131,0.22065217391304348,0.04565217391304348
5,2,868.1917205572912,0,0,904,11.742841247728142,2.9856194690265485,0.4856194690265487,-0.1519332409636069,0.7334070796460177,0.2168141592920354,0.049778761061946904
5,3,1102.4040150463336,0,1,931,11.689383293532776,3.0279269602577874,0.4940923737916219,-0.15424995461094448,0.7303974221267454,0.22019334049409237,0.04940923737916219
5,4,1117.086823927218,0,1,935,11.68443611820408,3.0085561497326205,0.49518716577540106,-0.11492135405483528,0.7294117647058823,0.22245989304812835,0.0481283422459893
6,1,1268.0124828848939,1,0,294,11.000637680405887,3.1020408163265305,0.5578231292517006,0.15274581362492715,0.7414965986394558,0.12585034013605442,0.1326530612244898
6,2,1368.2017482164767,1,0,289,11.260870759702627,3.1591695501730106,0.5605536332179931,0.11462403295391886,0.7370242214532872,0.12802768166089964,0.13494809688581316
6,3,1389.703459910537,1,1,290,11.132843792719251,3.220689655172414,0.5724137931034483,0.11029049305748628,0.7551724137931034,0.1103448275862069,0.13448275862068965
6,4,1526.5067276127593,1,1,289,11.398510150810386,3.301038062283737,0.5605536332179931,0.052858513708889505,0.7681660899653979,0.10034602076124567,0.1314878892733564
7,1,830.6164750939948,1,0,538,11.292449397757863,2.9776951672862455,0.5855018587360595,0.23206978724420016,0.5650557620817844,0.12639405204460966,0.30855018587360594
7,2,1106.5467046727751,1,0,552,11.410868248079085,3,0.5778985507246377,0.18681762844902391,0.5742753623188406,0.1358695652173913,0.2898550724637681
7,3,1198.499229250676,1,1,542,11.23689928232904,3.014760147601476,0.5738007380073801,0.14199297602052205,0.5793357933579336,0.12915129151291513,0.2915129151291513
7,4,1329.5206811938187,1,1,522,11.358884412720984,3.053639846743295,0.5689655172413793,0.11850437122182025,0.578544061302682,0.12643678160919541,0.2950191570881226
8,1,697.7115785179316,1,0,238,11.918963633568838,3.092436974789916,0.4789915966386555,-0.18141149413828392,0.7899159663865546,0.17647058823529413,0.03361344537815126
8,2,915.8061787418513,1,0,256,12.067506361259456,3.17578125,0.47265625,-0.3057231578393232,0.7734375,0.1875,0.0390625
8,3,1072.0491657395157,1,1,261,12.200565293779988,3.153256704980843,0.4789272030651341,-0.31006073634824105,0.7854406130268199,0.17624521072796934,0.038314176245210725
8,4,1549.7874233897778,1,1,250,12.066605522140248,3.104,0.504,-0.26806891669840915,0.772,0.188,0.04
9,1,892.6343355251929,0,0,2282,11.134162580195444,3.028045574057844,0.5788781770376863,0.22453999340816766,0.7602979842243646,0.19631901840490798,0.043382997370727434
9,2,1054.7352329084179,0,0,2292,11.119283007451969,3.0366492146596857,0.5724258289703316,0.22945713301468398,0.7591623036649214,0.19764397905759162,0.04319371727748691
