id.practice,X1,X2,X3,X4,X5,X6,X7,X8,X9
1,0,A,0,A,0,29.11024029371475,5.5403981501545125,0.2999910643625508,-30.233733308738472
2,0,B,1,A,1,21.373136976193564,9.065138449925854,0.2884119635246704,54.28213573710527
3,1,A,1,B,0,27.423979066618237,4.8974058023795655,0.4525178861005552,-1.0956994871450583
4,1,A,0,A,0,16.08653726054745,11.46306920045574,0.23242332946388433,-42.13112900251511
5,0,B,0,A,0,28.80649015948993,3.698375511678152,0.29002715265827544,-2.087534152892921
6,1,B,1,A,1,50.56812806001339,17.884617224268766,0.20701460087630494,43.940848915087244
7,0,C,0,A,1,19.25341784894921,11.469865634155036,0.44397968496428286,-65.94139560031802
8,1,B,1,A,0,28.12528338489116,5.96723004107581,0.5489680596338223,15.650217091530916
9,1,B,1,A,1,26.984190644260234,9.945726906511148,0.6279226618989971,56.98202723433118
10,0,B,1,A,1,20.92123841390134,6.419316867188909,0.3144477055658521,-28.890457430327395
11,0,A,1,A,1,25.287756156814044,12.982497959410972,0.4847348162341935,5.826086493643436
12,1,A,0,A,0,26.82365466647085,3.8485121698407356,0.5927546415245661,100.16685318019015
13,1,B,1,B,1,38.900998510543275,16.698826961171896,0.503839669565667,41.27352330770233
14,0,A,0,A,0,26.51363795070534,3.9767317797903994,0.22815771625387823,23.510315173300388
15,1,C,0,A,0,38.51021157272564,1.7841835383398927,0.4289045522793757,-3.7310032688282995
16,0,A,0,A,1,21.038806271583862,10.638616664234542,0.25337645612901877,4.3352951611749795
17,1,B,1,A,0,23.616112745996322,5.5184444109863575,0.4506300134645111,-15.229763217237611
18,1,A,1,A,1,18.14808112123019,15.136460446800616,0.2227481555530485,74.64441208441787
19,0,A,0,A,0,40.802770987674506,6.448547459376751,0.4193428309606407,-5.973506185777133
20,0,A,0,A,1,22.30941766117905,0.7686639752888045,0.36219170018031427,34.74926402637839
21,1,B,0,A,0,37.4184552495102,7.373105872835991,0.2746979546701914,60.738221760748736
22,1,A,0,A,0,38.48057683276556,0,0.4669745511031885,-13.604174787900583
23,1,A,0,A,0,22.90979142788576,4.144111719559407,0.685301169498795,48.56326728086631
24,0,A,0,C,0,36.14129855617183,2.303298824795086,0.2948748040577261,-6.081891529835104
25,1,A,1,A,0,25.238919032293097,3.3369221039976456,0.2974991504301114,74.52960957285148
26,1,B,1,B,1,27.478084318280082,13.750257058746582,0.49570890784621346,30.899530806420568
27,1,A,0,A,0,17.392165027344312,1.5053126792613325,0.3358552993663008,8.692360700762089
28,0,C,0,A,0,19.4216834152125,4.698511576814265,0.40881311559407596,-41.81440909806797
29,0,A,0,C,0,27.501269387894087,5.659223978883916,0.4712670095482208,26.4254406775227
30,1,C,1,B,1,27.740733107509,14.856443785817289,0.3396614651120764,43.78270414202646
31,0,B,0,C,0,16.206319085057842,3.3948731043283615,0.2348044225509743,31.68773004681987
32,1,A,0,A,1,29.974665112452623,10.516902459621438,0.18223325226901477,44.356625716331756
33,0,A,0,A,1,41.544962630302294,10.52719404730307,0.4174710626518822,-5.131421840494518
34,1,A,1,C,1,22.933864567484452,20.243298068081373,0.3470728240504203,-2.6344372731518106
35,1,A,1,A,0,23.479957305081577,2.9440920353066855,0.3512952192068821,-49.02360248150049
36,0,A,1,A,0,30.65696329395471,5.746771420283913,0.5168331762019117,-7.321820262535649
37,0,B,0,B,0,45.388409715912616,7.4783283080596865,0.44505448040902057,9.992782768172578
38,0,A,0,A,0,26.014830987713957,1.7298616274448224,0.42165639206026,3.485146662224267
39,1,B,0,A,0,29.81174527361588,8.843429137633173,0.21650900578801294,68.48785720769736
40,0,B,0,B,1,16.133744713475288,13.98070365046551,0.4089374732753771,-42.505324438494796
41,1,A,0,A,0,37.45536613548856,2.8802394475938717,0.33556382214820935,11.854345012341977
42,1,C,1,A,1,33.139572087348085,19.056294792438116,0.2938958841016725,46.18418668197979
43,1,A,0,A,0,34.31989905175452,6.278868495497448,0.2619051712197457,71.509502092343
44,0,C,1,A,0,24.74810086445128,5.774044462561004,0.39547311442234545,28.67633030179278
45,0,B,1,A,1,43.45655350698844,10.708393077476325,0.27399945083173427,0.9001384996968866
46,0,B,0,B,1,24.841301526878986,9.02265340690448,0.23100920501312577,-12.782331292103493
47,1,A,1,A,1,46.91146237765126,7.554597164076252,0.483803798309269,33.16402439611616
48,0,A,0,A,0,23.662650234922992,7.3432189051001835,0.3883184765136428,-2.2502873059054913
49,0,B,0,A,1,40.64261287445619,4.335786262731838,0.726334180670896,-38.6450097699682
