id.practice,X1,X2,X3,X4,X5,X6,X7,X8,X9
1,0,B,1,B,1,26.007665495652116,8.318437263490788,0.5941014312875331,22.318869916727046
2,0,C,0,A,1,25.33519424717774,8.6925281091955,0.4082586380059039,36.423532883794124
3,1,A,0,B,0,32.54755266002644,5.1411774720800425,0.5819609462487341,1.8415172346032023
4,0,B,1,A,0,25.765323299483462,2.937659432342574,0.4388779785365114,-10.956584150835326
5,1,A,1,A,0,42.18958775581668,4.772745815226039,0.44620655130642783,15.007560149774083
6,0,B,1,C,1,20.254480513339388,12.106595195410065,0.3162833189174157,64.53366742467115
7,0,A,0,A,0,24.78146910242183,5.238459202510164,0.2074221576002576,59.38271936968008
8,1,B,1,A,0,33.068826503301096,3.759921679156024,0.21831379785688337,20.17737185908601
9,0,B,0,B,0,32.9391782663527,4.983593691249216,0.3226866881926944,18.977805548214228
10,1,C,0,A,0,25.97151041445098,6.755458029555352,0.48556149100665036,54.32116661292544
11,0,A,0,A,0,18.131460959632765,5.3159949388192675,0.4183655191581268,71.26285381241841
12,1,B,0,A,1,29.317605929539653,15.518002009700798,0.4544647643971251,46.092883169790994
13,1,A,1,B,0,37.03840375009777,6.268576171674187,0.36468088268667614,61.86765557081292
14,1,B,1,A,1,27.286411016699446,7.173450147804679,0.6172903010105107,29.932726629333942
15,0,C,0,A,0,27.554456807913493,0.4122465702995175,0.32584105732302726,4.845637750025679
16,0,A,1,B,1,47.077906982521114,6.371772948885342,0.44613547676122217,-16.46019373207684
17,0,B,0,C,0,17.26393118698416,7.008889966863075,0.4591007551533916,57.82415449079204
18,1,B,1,C,1,28.37068391438923,7.710100751169906,0.33883059074310934,-9.59291595673458
19,0,B,1,A,0,46.264769481386,8.471791551657567,0.33805640198691883,-53.065516608330896
20,1,C,1,A,0,23.879375158417577,6.68043527611432,0.29932389920850744,2.192145301541508
21,1,A,1,A,1,38.13583598717913,14.528721566044918,0.510561426869956,44.65482656404869
22,1,A,1,C,1,22.415999481543462,9.103699376805565,0.32629501074391964,31.800700373502
23,0,C,1,B,1,30.186924819590843,8.518716030119156,0.24749876006645657,-10.202539829318074
24,1,A,1,B,1,15.415898629983499,14.37722259696094,0.5090893450567694,20.522088796258622
25,1,C,1,B,1,13.31672921220714,20.60730592460586,0.20941574713837344,-52.82658067201518
26,0,B,1,A,1,21.411655505748755,9.47809501570913,0.3635583414327684,9.955346541357743
27,1,A,0,A,0,41.235465613474574,5.9933987687281824,0.17730190842190838,21.965988794433095
28,0,A,1,A,0,29.77183362927196,5.724957195330454,0.23186448798168593,44.76819795274706
29,0,A,0,A,0,34.537588731181046,5.916207124915546,0.41596356383613525,125.770153410734
30,0,C,1,A,1,25.30544635648324,7.962163174926014,0.3657229714262627,5.150531010211758
31,0,C,1,A,0,25.721741921478923,2.739135054011239,0.5228883730639948,17.217283343353913
32,0,A,0,A,0,19.349389325508213,4.300814861962993,0.5682696832828709,-6.967156802079323
33,0,A,0,B,0,28.434438432298997,0.8279472760054354,0.3547486403043524,11.288632618111517
34,0,B,1,A,1,33.557210611345226,10.221226906353763,0.537206090424917,-19.454059252975675
35,0,B,1,C,0,24.061165075794666,6.632622879722637,0.28959773848055365,-44.711677725059474
36,1,B,1,B,1,33.466225084298074,17.549758636816406,0.43473689185863623,84.96556283659133
37,1,A,0,A,0,19.113111183217928,6.0375901533500755,0.24493115673815996,35.9381086831336
38,0,A,0,C,0,23.224740706939272,4.899074395333759,0.546335531767291,-0.8724362407857633
39,1,A,1,C,0,23.183033111027175,4.455366873455876,0.29926267838623577,39.16044195105914
40,1,C,0,A,1,19.478558509890064,10.866404717134776,0.2710647910373,23.98238241628364
41,0,B,1,A,1,39.20095436008456,12.427358053784577,0.49865786225828945,46.58822092641039
42,1,B,1,B,0,36.06991687142044,3.02567369155598,0.5231549264198438,-24.496166024395116
43,0,B,0,B,0,49.029593265219816,0.39652658453954714,0.2774007900120793,88.11800122519217
44,0,A,0,A,0,20.671120551945133,1.0902994675500866,0.5657349621201545,53.16382121025918
45,1,A,1,A,1,42.72490601217281,23.56187652287535,0.5532296413861261,29.38260622950039
46,1,A,0,A,0,25.928135992301605,5.369565385224063,0.1782313364041786,51.89931912448993
47,0,B,0,A,1,19.595251527113607,11.656439505977602,0.26110603667072135,-11.650516795974724
48,0,A,0,C,1,21.597372501460622,5.671946650891231,0.31362120755973477,83.91488129562555
49,0,A,1,B,1,41.27969659103788,11.176165179224798,0.5294921940634266,48.256939868259096
50,0,C,1,A,0,29.282537482327562,0.1629555492018655,0.5095199141589585,10.4938546401503
51,1,B,1,A,1,23.59634258490358,16.619398833368997,0.638510524266352,-51.65314389340206
52,0,B,0,A,1,43.614020238585425,9.140078815468444,0.4677768161705496,39.825967103437975
